,episode,num_steps,score,success,critic_loss,actor_loss,bc_loss,for_loss,inv_loss,alpha_loss,alpha,log_prob,train_time,episode_time,total_time
0,0.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,12.28763198852539,175.01013278961182
1,1.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,11.820837020874023,200.5266695022583
2,2.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,12.474180936813354,225.3336763381958
3,3.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,12.036425828933716,249.3565957546234
4,4.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,12.237696170806885,273.188232421875
5,5.0,0.0,500.0,0.0,0.07437741011381149,-0.5821471148580313,0.0,0.00013213684724178165,0.20457205176353455,0.2616184312701225,0.07984088375948757,-1.8357183933258057,0.04076957702636719,27.793736696243286,313.24111819267273
6,6.0,0.0,500.0,0.0,0.04908676818013191,-1.0485638384819032,0.0,5.826702545164153e-05,0.156003937125206,0.19303171414136885,0.0655298938055096,-1.3300386667251587,0.038904428482055664,29.063781261444092,369.96461153030396
7,7.0,0.0,500.0,0.0,0.052375443279743195,-1.4961945552825928,0.0,5.022965342504904e-05,0.1512884497642517,0.14641122597455977,0.055081182495987986,-0.8682819604873657,0.04055619239807129,28.109968185424805,426.7805609703064
8,8.0,0.0,500.0,0.0,0.048648323863744736,-1.9057752056121826,0.0,4.1027527913684025e-05,0.14891602098941803,0.12018768233060836,0.046810408933339966,-0.7290813326835632,0.03922772407531738,28.80112361907959,483.4353828430176
9,9.0,0.0,500.0,0.0,0.0433470644056797,-2.287994574546814,0.0,3.629457569331862e-05,0.14807236194610596,0.10072002905607223,0.04013885154664392,-0.6428741812705994,0.03969740867614746,27.44260549545288,539.4298260211945
10,10.0,0.0,500.0,0.0,0.032691266387701035,-2.670229063987732,0.0,3.180765997967683e-05,0.1481056809425354,0.07810541215538978,0.03508961459325705,-0.1588253527879715,0.039073944091796875,28.19545602798462,594.3854711055756
11,11.0,0.0,500.0,0.0,0.030664782971143723,-3.0689676685333254,0.0,2.705096449062694e-05,0.146883025765419,0.061539107471704484,0.031141572144930494,0.27995485067367554,0.04929041862487793,29.270639181137085,650.7224338054657
12,12.0,0.0,500.0,0.0,0.030746715143322945,-3.458625825881958,0.0,2.4126078642439097e-05,0.1449698805809021,0.05248996260762215,0.027777973059824747,0.4338262677192688,0.04067039489746094,28.9243803024292,707.599196434021
13,13.0,0.0,500.0,0.0,0.029635990038514137,-3.8339493579864503,0.0,2.1295494661899284e-05,0.14386877417564392,0.04376413331925869,0.024949795328851866,0.6780036091804504,0.041143178939819336,30.160117626190186,766.4802248477936
14,14.0,0.0,500.0,0.0,0.028960080817341805,-4.199740862846374,0.0,2.1215339074842632e-05,0.1427239328622818,0.03858084557950497,0.022441832820319328,0.7422329187393188,0.04147148132324219,28.544774293899536,822.7824573516846
15,15.0,0.0,500.0,0.0,0.02909170836210251,-4.5134303169250485,0.0,2.15427135117352e-05,0.1411680281162262,0.0350258784070611,0.020158840699642827,0.709452748298645,0.04047822952270508,29.04453444480896,880.236029624939
16,16.0,0.0,500.0,0.0,0.028220882639288902,-4.818372797012329,0.0,2.0553394278977066e-05,0.14061672985553741,0.03139736712723971,0.018106328322494748,0.7158259749412537,0.04017996788024902,30.715533018112183,939.1470470428467
17,17.0,0.0,500.0,0.0,0.03033863566815853,-5.120923427581787,0.0,2.159901305276435e-05,0.13963307440280914,0.025872308276593686,0.016400700917246165,0.9994681477546692,0.04083538055419922,32.466776847839355,999.1795110702515
18,18.0,0.0,500.0,0.0,0.03523269668221474,-5.497406238555908,0.0,1.7044014384737238e-05,0.13751719892024994,0.019333598285913467,0.01509393023057289,1.543829083442688,0.04149985313415527,31.18437361717224,1057.4432590007782
19,19.0,0.0,500.0,0.0,0.049902237951755524,-6.075920755386353,0.0,1.5979563613655046e-05,0.12852996587753296,0.0139475885219872,0.014109525026480146,2.089202642440796,0.03850913047790527,31.118483066558838,1117.9382419586182
20,20.0,0.0,500.0,0.0,0.051246438175439835,-6.68274313545227,0.0,1.3845227840647567e-05,0.12221486121416092,0.010388291496783495,0.013328772391220742,2.485624074935913,0.047181129455566406,34.08514738082886,1359.3880841732025
21,21.0,0.0,500.0,0.0,0.06383279711008072,-7.196472164154053,0.0,2.2318250557873398e-05,0.1203407570719719,0.008891707763075829,0.012622526930130579,2.629826307296753,0.04415154457092285,33.10639572143555,1428.7634959220886
22,22.0,0.0,500.0,0.0,0.06408706307411194,-7.576004724502564,0.0,1.954497020051349e-05,0.11749736964702606,0.007386212645098567,0.011995792974787603,2.8000731468200684,0.0450136661529541,30.132434129714966,1489.3372297286987
23,23.0,0.0,500.0,0.0,0.08287999033927917,-8.345344980239869,0.0,1.7682632460491732e-05,0.11148644983768463,0.004901219648774714,0.011537218786337856,3.1670477390289307,0.0427091121673584,33.27386689186096,1554.864155292511
24,24.0,0.0,500.0,0.0,0.0907558724284172,-8.909630054473878,0.0,1.623335265321657e-05,0.1077084019780159,0.0038968976052710788,0.011151601526527506,3.3132925033569336,0.04320406913757324,32.02599620819092,1618.9066243171692
25,25.0,0.0,500.0,0.0,0.11258228868246078,-9.711820629119874,0.0,1.534475086373277e-05,0.1021868884563446,0.00046115055051632227,0.011082882987594373,3.917102575302124,0.04341530799865723,32.87456965446472,1681.1406426429749
