,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
11,11.0,500.0,0.0,0.0,0.0,0.0011517420643940568,-1.5075369048118592,0.08983312553167343,0.028110671812579858,-1.953207015991211,6000.0,5000.0,0.0,7.366601228713989,15.553986072540283,716.287992477417
12,12.0,500.0,0.0,0.0,0.0,0.007989476434886456,-1.8453317694664002,0.07401384791731834,0.024704402166983802,-1.6134545803070068,6500.0,5000.0,0.0,7.401779890060425,15.646287441253662,749.5350379943848
13,13.0,500.0,0.0,0.0,0.0,0.0021884413436055183,-2.1474741106033326,0.06342991515994072,0.02184072941623701,-1.4574229717254639,7000.0,5000.0,0.0,7.429678201675415,15.569912195205688,782.5941197872162
14,14.0,500.0,0.0,0.0,0.0,0.0030541233718395233,-2.394026124000549,0.053410785242915156,0.01945431139103281,-1.1786266565322876,7500.0,5000.0,0.0,7.398943662643433,15.554243326187134,814.0803699493408
15,15.0,500.0,0.0,0.0,0.0,0.003729495918378234,-2.6989131956100465,0.0441031556725502,0.017486125492716637,-0.7791450023651123,8000.0,5000.0,0.0,7.405778646469116,15.591526985168457,846.579213142395
16,16.0,500.0,0.0,0.0,0.0,0.0038101309910416603,-2.9860702333450315,0.03678139542043209,0.015831095104112847,-0.4181230068206787,8500.0,5000.0,0.0,7.453733205795288,15.671101570129395,880.1172494888306
17,17.0,500.0,0.0,0.0,0.0,0.004643401131033897,-3.295106023788452,0.02979267083108425,0.014466676976922943,0.06518644839525223,9000.0,5000.0,0.0,7.510725736618042,15.695760250091553,913.5333454608917
18,18.0,500.0,0.0,0.0,0.0,0.0049614449962973595,-3.5897048444747925,0.025824163161218168,0.01325444949888005,0.2725237011909485,9500.0,5000.0,0.0,7.543626070022583,15.641269445419312,946.9083483219147
19,19.0,500.0,0.0,0.0,0.0,0.005902827251702547,-3.8824270582199096,0.02129404704272747,0.012222950183616722,0.6559545993804932,10000.0,5000.0,0.0,7.549711465835571,15.736705541610718,979.9934601783752
20,20.0,500.0,0.0,0.0,0.0,0.006224013399332762,-4.183533867835998,0.018702969387173654,0.011287121690312816,0.8175932168960571,10500.0,5000.0,0.0,7.546997547149658,16.129697799682617,1431.6199686527252
21,21.0,500.0,0.0,0.0,0.0,0.006991320289671421,-4.469905437469483,0.015344208732247353,0.010487559211498153,1.1812050342559814,11000.0,5000.0,0.0,7.579253435134888,16.08718228340149,1463.4292342662811
22,22.0,500.0,0.0,0.0,0.0,0.007923324592411518,-4.7765595703125,0.012744302235543728,0.00979336801383774,1.486527442932129,11500.0,5000.0,0.0,7.536829233169556,15.913639545440674,1495.0005958080292
23,23.0,500.0,0.0,0.0,0.0,0.009897896088659763,-5.071652313232422,0.009763811485841871,0.00922801401208276,1.9471126794815063,12000.0,5000.0,0.0,7.478972911834717,15.731563091278076,1526.3546397686005
24,24.0,500.0,0.0,0.0,0.0,0.01215173490345478,-5.383624740600586,0.007036424001678824,0.00879499930323253,2.438619613647461,12500.0,5000.0,0.0,7.422481298446655,18.370854139328003,1560.3635177612305
25,25.0,500.0,0.0,0.0,0.0,0.013062632642686367,-5.657111700057984,0.005665311233140528,0.008417039172038867,2.683764696121216,13000.0,5000.0,0.0,7.485044240951538,15.516631841659546,1592.0093710422516
26,26.0,500.0,0.0,0.0,0.0,0.015283017419278622,-5.99939003944397,0.00352699340833351,0.008160611239150866,3.149188756942749,13500.0,5000.0,0.0,7.492450952529907,15.471249103546143,1624.4526903629303
27,27.0,500.0,0.0,0.0,0.0,0.016509482637047768,-6.305307514190674,0.0020784356808435404,0.007989571583085213,3.4854750633239746,14000.0,5000.0,0.0,7.349278688430786,15.169116497039795,1655.5806136131287
28,28.0,500.0,0.0,0.0,0.0,0.024146832525730133,-6.744619831085205,-0.01019769162557111,0.008899167079672862,6.4270710945129395,14500.0,5000.0,0.0,7.532496452331543,18.521024227142334,1690.1702790260315
29,29.0,500.0,0.0,0.0,0.0,0.02584439516067505,-7.27367200088501,-0.01059236821718514,0.01011720416283362,6.236071586608887,15000.0,5000.0,0.0,7.448835134506226,17.90312886238098,1723.9736967086792
30,30.0,500.0,0.0,0.0,0.0,0.030973874032497406,-7.801539823532105,-0.010897388305515052,0.011673381490259305,6.010014533996582,15500.0,5000.0,0.0,7.373912572860718,17.207825660705566,1759.9879636764526
31,31.0,500.0,0.0,0.0,0.0,0.04228317365050316,-8.255144214630127,-0.008161690747365356,0.013144199870961765,5.319798946380615,16000.0,5000.0,0.0,7.410624980926514,16.990907907485962,1792.9034600257874
32,32.0,500.0,0.0,0.0,0.0,0.04033084958791733,-8.746149028778076,-0.005583946577273309,0.014378144493516164,4.813022613525391,16500.0,5000.0,0.0,7.427216053009033,16.91493797302246,1826.3311715126038
33,33.0,500.0,0.0,0.0,0.0,0.042300108820199966,-9.233953926086425,-0.004618418015772477,0.01563181665660043,4.617057800292969,17000.0,5000.0,0.0,7.4972498416900635,16.845090627670288,1861.5966832637787
34,34.0,500.0,0.0,0.0,0.0,0.048417363315820694,-9.59810132598877,0.0012723128060315504,0.015263429705254943,3.8359289169311523,17500.0,5000.0,0.0,7.424820184707642,16.457369565963745,1896.747227191925
35,35.0,500.0,0.0,0.0,0.0,0.04572468623518944,-10.07948231124878,0.00226383023049857,0.014519969604361286,3.6962714195251465,18000.0,5000.0,0.0,7.451649904251099,16.92099666595459,1931.7539021968842
36,36.0,500.0,0.0,0.0,0.0,0.05110930651426315,-10.55383659362793,0.0012404713655960221,0.014066600728542518,3.826620101928711,18500.0,5000.0,0.0,7.421683073043823,17.285532236099243,1966.3152096271515
37,37.0,500.0,0.0,0.0,0.0,0.054441217333078384,-11.058737743377685,-0.0018055161479551315,0.014756222717510476,4.251091003417969,19000.0,5000.0,0.0,7.352549076080322,17.37929916381836,1999.8219723701477
38,38.0,500.0,0.0,0.0,0.0,0.056044112890958786,-11.578849071502686,-0.003126540917544844,0.01629859624903789,4.404185771942139,19500.0,5000.0,0.0,7.419087648391724,16.64305543899536,2032.3352768421173
39,39.0,500.0,0.0,0.0,0.0,0.06434635072946548,-12.083495582580566,-0.001842338221729733,0.01736991993865653,4.219172954559326,20000.0,5000.0,0.0,7.456091642379761,15.981032609939575,2064.0484342575073
40,40.0,500.0,0.0,0.0,0.0,0.06878497451543808,-12.567624588012695,-0.0014490432838101697,0.018430418660903815,4.162276268005371,20500.0,5000.0,0.0,7.73112154006958,18.804714679718018,2526.6260228157043
41,41.0,500.0,0.0,0.0,0.0,0.08895789831876755,-13.191861968994141,-0.0005776332464738517,0.018863168348487294,4.062192440032959,21000.0,5000.0,0.0,7.493175506591797,17.826617002487183,2560.3157522678375
42,42.0,500.0,0.0,0.0,0.0,0.09156061708927155,-13.756793575286865,-0.0007677691948993015,0.019602507556106884,4.080074310302734,21500.0,5000.0,0.0,7.484560251235962,17.73595356941223,2594.4047129154205
43,43.0,500.0,0.0,0.0,0.0,0.1067078709602356,-14.079767219543458,-0.0003369691279440303,0.019998427037432823,4.03414249420166,22000.0,5000.0,0.0,7.4979164600372314,18.242300033569336,2628.935083389282
