,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,num_env1_updates,num_env2_updates,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,500.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.511730670928955,553.7082016468048
1,1.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.323415517807007,579.0937139987946
2,2.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1500.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.506303548812866,604.9050488471985
3,3.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.719072818756104,630.2934839725494
4,4.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2500.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.358307123184204,655.1977229118347
5,5.0,500.0,0.0,0.0,0.0,0.04394557699561119,-0.5222243301644921,0.0,0.0,0.0,0.0,0.0,0.256392675684765,0.07988866611518769,-1.716067910194397,3000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.097118854522705,20.721739768981934,689.1084027290344
6,6.0,500.0,0.0,0.0,0.0,0.016485663130879402,-1.2980574588775635,0.0,0.0,0.0,0.0,0.0,0.14646392059326171,0.05485130863017206,-0.8842051029205322,3500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.694503307342529,20.286536693572998,732.330983877182
7,7.0,500.0,0.0,0.0,0.0,0.036202263087034225,-1.9969366393089294,0.0,0.0,0.0,0.0,0.0,0.09454575738310814,0.04031759336871714,-0.3534935712814331,4000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.728254556655884,21.40341591835022,776.6883225440979
8,8.0,500.0,0.0,0.0,0.0,0.0658479779958725,-2.6365229415893556,0.0,0.0,0.0,0.0,0.0,0.06313577435910701,0.031058023743332358,0.1838761568069458,4500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.640736818313599,21.1090145111084,820.3570380210876
9,9.0,500.0,0.0,0.0,0.0,0.10678356885910034,-3.224450658798218,0.0,0.0,0.0,0.0,0.0,0.03672596016852185,0.02568425596731411,1.2701308727264404,5000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.441888570785522,21.154980421066284,863.4170155525208
10,10.0,500.0,0.0,0.0,0.0,0.12126897275447845,-3.8657245473861694,0.0,0.0,0.0,0.0,0.0,0.03199478685855865,0.021169206835977637,1.128525733947754,5500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.859800100326538,20.729172945022583,907.9919278621674
11,11.0,500.0,0.0,0.0,0.0,0.15357059240341187,-4.712493097305297,0.0,0.0,0.0,0.0,0.0,0.01222760978282895,0.01876830416568077,2.7287099361419678,6000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.945509433746338,21.29610013961792,952.2253897190094
12,12.0,500.0,0.0,0.0,0.0,0.18190892040729523,-5.431841726303101,0.0,0.0,0.0,0.0,0.0,0.009865753664344083,0.016993701519408832,2.8674521446228027,6500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.020090341567993,21.03485608100891,996.338497877121
13,13.0,500.0,0.0,0.0,0.0,0.21166013181209564,-6.224171495437622,0.0,0.0,0.0,0.0,0.0,0.004949903060216456,0.015597789325293576,3.375187873840332,7000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.762489557266235,19.550646781921387,1039.355636358261
14,14.0,500.0,0.0,0.0,0.0,0.195814847946167,-7.12990545463562,0.0,0.0,0.0,0.0,0.0,0.0057423270541476085,0.01461064695111748,3.231870651245117,7500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.453941822052002,21.223830223083496,1083.999936580658
15,15.0,500.0,0.0,0.0,0.0,0.2542702257633209,-8.150330463409423,0.0,0.0,0.0,0.0,0.0,-0.0011066090818494558,0.014595725840127458,4.152529716491699,8000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.052170991897583,20.218615770339966,1128.3384635448456
16,16.0,500.0,0.0,0.0,0.0,0.2608456611633301,-9.016126499176025,0.0,0.0,0.0,0.0,0.0,-0.0005891718845814466,0.014966883309549601,4.079050064086914,8500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.992069244384766,19.707237005233765,1171.9381430149078
17,17.0,500.0,0.0,0.0,0.0,0.29273509979248047,-9.924495548248291,0.0,0.0,0.0,0.0,0.0,-0.0007805754085129593,0.015377338493769604,4.102107048034668,9000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.08725643157959,19.749029636383057,1215.1685454845428
18,18.0,500.0,0.0,0.0,0.0,0.3241540491580963,-10.778761573791504,0.0,0.0,0.0,0.0,0.0,-0.004769898384431144,0.017862929489213884,4.557979583740234,9500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.071942329406738,20.534469842910767,1257.9316308498383
19,19.0,500.0,0.0,0.0,0.0,0.31205496191978455,-11.536741989135741,0.0,0.0,0.0,0.0,0.0,-0.005325322831005906,0.02078374266410526,4.543082237243652,10000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.9445250034332275,20.93385672569275,1301.5727925300598
20,20.0,500.0,0.0,0.0,0.0,0.3266978859901428,-12.01637448501587,0.0,0.0,0.0,0.0,0.0,0.001029420189675875,0.02162183143782839,3.905949592590332,10500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.682962894439697,21.22601342201233,1895.8198895454407
21,21.0,500.0,0.0,0.0,0.0,0.39612504839897156,-12.49146018600464,0.0,0.0,0.0,0.0,0.0,-7.655892730690538e-05,0.021433877007529977,4.007236003875732,11000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.940257549285889,21.686057567596436,1939.0149774551392
22,22.0,500.0,0.0,0.0,0.0,0.41668224334716797,-13.143317306518554,0.0,0.0,0.0,0.0,0.0,-0.0014772311374545097,0.02246419395467599,4.134762763977051,11500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.183867454528809,21.81013035774231,1984.1451568603516
23,23.0,500.0,0.0,0.0,0.0,0.4726836681365967,-13.837764762878418,0.0,0.0,0.0,0.0,0.0,-0.004072113245725631,0.02536848098124674,4.338589191436768,12000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.8740410804748535,19.768944025039673,2027.6725783348083
24,24.0,500.0,0.0,0.0,0.0,0.9768275022506714,-14.269036659240722,0.0,0.0,0.0,0.0,0.0,-0.00122239190293476,0.027740707017229745,4.089476585388184,12500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.52280044555664,21.604312419891357,2072.892191886902
25,25.0,500.0,0.0,0.0,0.0,0.5540950894355774,-14.953830268859864,0.0,0.0,0.0,0.0,0.0,-0.0003850838486105204,0.02810723467467441,4.0276713371276855,13000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.017321109771729,21.67161250114441,2118.1633009910583
26,26.0,500.0,0.0,0.0,0.0,0.4390447437763214,-15.338576938629151,0.0,0.0,0.0,0.0,0.0,0.0015310645366553217,0.0269351632700674,3.8881959915161133,13500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.523885011672974,21.27456021308899,2163.252904176712
27,27.0,500.0,0.0,0.0,0.0,0.46769821643829346,-15.613115131378175,0.0,0.0,0.0,0.0,0.0,0.0018756700476515106,0.025935592285754046,3.858232259750366,14000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.708886623382568,22.37882947921753,2209.930797815323
28,28.0,500.0,0.0,0.0,0.0,0.37498143315315247,-15.94405029296875,0.0,0.0,0.0,0.0,0.0,-0.001167029063217342,0.02704815549179368,4.087631702423096,14500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.142889976501465,21.69215703010559,2255.4653718471527
29,29.0,500.0,0.0,0.0,0.0,0.429875910282135,-16.095394374847412,0.0,0.0,0.0,0.0,0.0,0.0009413354247808457,0.026217131229176276,3.9292333126068115,15000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.16949725151062,22.069469213485718,2301.950361728668
30,30.0,500.0,0.0,0.0,0.0,0.34721246361732483,-16.28965524673462,0.0,0.0,0.0,0.0,0.0,0.002345142731210217,0.02512175075275887,3.816950798034668,15500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.114054441452026,20.881789207458496,2346.547467470169
31,31.0,500.0,0.0,0.0,0.0,0.4020808935165405,-16.687686771392823,0.0,0.0,0.0,0.0,0.0,-0.002173095926642418,0.025854713330908722,4.171645164489746,16000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.051514387130737,21.26393985748291,2390.0048620700836
32,32.0,500.0,0.0,0.0,0.0,0.3699060380458832,-16.97958293533325,0.0,0.0,0.0,0.0,0.0,-0.001727426579222083,0.028632464252036145,4.1228108406066895,16500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.755563497543335,20.128610849380493,2432.070724964142
33,33.0,500.0,0.0,0.0,0.0,0.41560912132263184,-17.15431163406372,0.0,0.0,0.0,0.0,0.0,0.00014119278453290462,0.028874156626371137,3.990338087081909,17000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.418717384338379,21.39560294151306,2476.650616645813
34,34.0,500.0,0.0,0.0,0.0,0.5030320882797241,-17.424014247894288,0.0,0.0,0.0,0.0,0.0,0.0012894317358732223,0.02756021053119128,3.9075825214385986,17500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.67735505104065,22.12885570526123,2522.3249895572662
35,35.0,500.0,0.0,0.0,0.0,0.5044608116149902,-17.62984614944458,0.0,0.0,0.0,0.0,0.0,0.001040889472234994,0.028085783100422555,3.9269471168518066,18000.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.350791692733765,21.022258043289185,2567.098710536957
36,36.0,500.0,0.0,0.0,0.0,0.567653238773346,-17.670324016571044,0.0,0.0,0.0,0.0,0.0,-0.0007754793071653693,0.028586399415259825,4.054827690124512,18500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.843209981918335,20.96388077735901,2610.979748725891
37,37.0,500.0,0.0,0.0,0.0,0.46003857254981995,-17.711778213500978,0.0,0.0,0.0,0.0,0.0,0.00031353400088846684,0.028665348026063225,3.9782602787017822,19000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.916208982467651,21.78953766822815,2656.689592599869
38,38.0,500.0,0.0,0.0,0.0,0.4573519229888916,-17.774792598724364,0.0,0.0,0.0,0.0,0.0,-0.00024210427794605494,0.02856603084789934,4.017153739929199,19500.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.826833248138428,21.12406635284424,2700.283642053604
39,39.0,500.0,0.0,0.0,0.0,0.5076419115066528,-17.884383060455324,0.0,0.0,0.0,0.0,0.0,-0.0006037157136015594,0.029714944030912464,4.040957450866699,20000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.7596070766448975,22.566712617874146,2746.067087173462
40,40.0,500.0,0.0,0.0,0.0,0.5745778679847717,-17.93606736755371,0.0,0.0,0.0,0.0,0.0,0.0016387685800436885,0.028410799601424182,3.8867688179016113,20500.0,5000.0,0.0,0.0,0.0,250.0,250.0,8.979631185531616,21.43057918548584,3334.7766654491425
41,41.0,500.0,0.0,0.0,0.0,0.616154670715332,-18.18694570541382,0.0,0.0,0.0,0.0,0.0,0.0004989232381340116,0.027944564307124744,3.964609146118164,21000.0,5000.0,0.0,0.0,0.0,250.0,250.0,7.8391759395599365,20.22853112220764,3378.0168633461
