,episode,num_steps,score,success,critic_loss,actor_loss,bc_loss,for_loss,inv_loss,alpha_loss,alpha,log_prob,train_time,episode_time,total_time
0,0.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,10.446019172668457,139.3679404258728
1,1.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,10.39348554611206,160.45626544952393
2,2.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.479351997375488,181.5034363269806
3,3.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,11.029746055603027,201.62568140029907
4,4.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.982300996780396,221.30318927764893
5,5.0,0.0,500.0,0.0,0.07050080597400665,-0.606250488564372,0.0,0.00015159505710471421,0.21300186216831207,0.2618224191069603,0.07977492089934075,-1.8444554805755615,0.03454852104187012,24.627318620681763,255.2419810295105
6,6.0,0.0,500.0,0.0,0.04633462801575661,-1.0823468713760376,0.0,7.10248204995878e-05,0.15837973356246948,0.19031677758693696,0.06556716100193176,-1.255802869796753,0.03464984893798828,24.765971660614014,304.47279143333435
7,7.0,0.0,500.0,0.0,0.050791069865226746,-1.5264866094589233,0.0,5.172462988412008e-05,0.15214437246322632,0.148616654753685,0.05491767691488355,-0.9478466510772705,0.03469967842102051,24.754729509353638,354.16825580596924
8,8.0,0.0,500.0,0.0,0.04251057282090187,-1.9371801686286927,0.0,4.389698733575642e-05,0.15114828944206238,0.11935654732584954,0.046702221767474614,-0.7087642550468445,0.03521919250488281,24.487555742263794,404.42182445526123
9,9.0,0.0,500.0,0.0,0.03453521057963371,-2.3182576656341554,0.0,3.431398363318294e-05,0.14892596006393433,0.09441224944591523,0.040384001080351076,-0.34343162178993225,0.034592390060424805,24.545576810836792,453.9867775440216
10,10.0,0.0,500.0,0.0,0.030541930347681046,-2.6862817182540892,0.0,2.9737759177805856e-05,0.1475381702184677,0.0777497565150261,0.03529574153783117,-0.11500944197177887,0.034461259841918945,25.852661609649658,504.45330476760864
11,11.0,0.0,500.0,0.0,0.026557179167866707,-3.036887596130371,0.0,3.322616976220161e-05,0.1468508243560791,0.06638634680211544,0.03100657803382617,-0.010238944552838802,0.03536224365234375,25.260096788406372,554.3428893089294
