,episode,num_steps,score,success,critic_loss,actor_loss,bc_loss,for_loss,inv_loss,alpha_loss,alpha,log_prob,train_time,episode_time,total_time
0,0.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.955864906311035,145.20290398597717
1,1.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,10.67372465133667,165.97029376029968
2,2.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.676703929901123,185.4661991596222
3,3.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.725419282913208,204.8916871547699
4,4.0,0.0,500.0,0.0,,,,,,,0.0,,0.0,9.353104829788208,224.19738125801086
5,5.0,0.0,500.0,0.0,0.07295694947242737,-0.5683402347639203,0.0,0.00014034664491191506,0.21336640417575836,0.23205977387167515,0.08027679513511468,-1.1528459787368774,0.03565859794616699,25.021299839019775,274.41496300697327
6,6.0,0.0,500.0,0.0,0.011904329992830753,-1.119712162733078,0.0,6.152388959890231e-05,0.16350360214710236,0.16994039636850358,0.06601541327030068,-0.6615633964538574,0.035491943359375,25.297306537628174,324.7369735240936
7,7.0,0.0,500.0,0.0,0.01017149817198515,-1.7193821487426757,0.0,4.5566423068521544e-05,0.1545685976743698,0.11956012195348739,0.05616031131353409,0.07855396717786789,0.03562474250793457,26.76980757713318,376.3408553600311
8,8.0,0.0,500.0,0.0,0.011398572474718094,-2.315164625644684,0.0,4.6918994485167786e-05,0.1539403200149536,0.09188315916061401,0.04860899021650347,0.4872663617134094,0.03613781929016113,25.1200008392334,426.26652359962463
9,9.0,0.0,500.0,0.0,0.012469872832298279,-2.9730455837249754,0.0,3.411732905078679e-05,0.1495983600616455,0.06920156900584698,0.04287819265616346,0.9718909859657288,0.03617119789123535,24.95463752746582,476.2788450717926
10,10.0,0.0,500.0,0.0,0.014983078464865685,-3.6917925119400024,0.0,3.0347760912263766e-05,0.14743661880493164,0.05268945406377316,0.03842888567564797,1.40700101852417,0.03616905212402344,25.009650230407715,526.8570241928101
11,11.0,0.0,500.0,0.0,0.018940895795822144,-4.39969342136383,0.0,2.7272872102912515e-05,0.14541617035865784,0.039989974565804005,0.034945027159853564,1.8199536800384521,0.03607988357543945,24.725709438323975,577.3818671703339
12,12.0,0.0,500.0,0.0,0.01992490328848362,-5.179351310729981,0.0,2.384487925155554e-05,0.14475607872009277,0.032420280836522576,0.032018580087329676,2.0637967586517334,0.03610825538635254,24.780590772628784,628.4725093841553
13,13.0,0.0,500.0,0.0,0.023160427808761597,-5.941299732208252,0.0,1.961702037078794e-05,0.1446092277765274,0.02664968852698803,0.029503745383733425,2.2675931453704834,0.03568911552429199,25.58885145187378,680.0613415241241
14,14.0,0.0,500.0,0.0,0.025128601118922234,-6.771099983215332,0.0,1.88941958185751e-05,0.1452939212322235,0.01892678140103817,0.02761136614894891,2.6745352745056152,0.03650856018066406,25.425519704818726,732.4936056137085
15,15.0,0.0,500.0,0.0,0.03324185311794281,-7.60566681098938,0.0,1.575946225784719e-05,0.141816183924675,0.011106955975294113,0.026389937190250217,3.1775033473968506,0.03642916679382324,24.98619532585144,784.7133829593658
16,16.0,0.0,500.0,0.0,0.049669768661260605,-8.509658605575561,0.0,1.3549906725529581e-05,0.1331789791584015,0.005450479391030967,0.025743798442882528,3.5820088386535645,0.03661942481994629,24.724197149276733,836.8967747688293
17,17.0,0.0,500.0,0.0,0.07529638707637787,-9.707050151824951,0.0,3.4053569834213704e-05,0.12737388908863068,0.0010440840600058436,0.025608111466304418,3.9187235832214355,0.03580141067504883,25.38610577583313,890.2721030712128
18,18.0,0.0,500.0,0.0,0.08127429336309433,-11.09004638671875,0.0,1.6079069609986618e-05,0.12074148654937744,-0.0009035216085612773,0.02572315675955358,4.070450305938721,0.03581547737121582,25.65700387954712,944.1425173282623
19,19.0,0.0,500.0,0.0,0.08684538304805756,-12.270227207183838,0.0,1.3835838217346463e-05,0.11423809826374054,-0.006847782257013023,0.026896308261062936,4.521241188049316,0.03559398651123047,26.53299069404602,998.303955078125
20,20.0,0.0,500.0,0.0,0.13693781197071075,-13.407896335601807,0.0,1.8903274394688196e-05,0.11188645660877228,-0.008298221388831734,0.028604768371115606,4.59882116317749,0.03255105018615723,25.30280351638794,1204.7982141971588
21,21.0,0.0,500.0,0.0,0.15186789631843567,-14.863723751068115,0.0,1.445492853235919e-05,0.1056324765086174,-0.009454937171190976,0.030985977800613667,4.6359734535217285,0.03375101089477539,25.293134212493896,1253.5696499347687
22,22.0,0.0,500.0,0.0,0.182056725025177,-16.4625788230896,0.0,1.2986525689484552e-05,0.10074328631162643,-0.007453049703035504,0.03326448525023241,4.465079307556152,0.03451061248779297,24.035893201828003,1301.5693457126617
23,23.0,0.0,500.0,0.0,0.17278437316417694,-18.668939880371095,0.0,1.2193455404485576e-05,0.0970316007733345,-0.008458607007865795,0.0362792645138934,4.488093852996826,0.033684492111206055,23.29380202293396,1348.0206377506256
24,24.0,0.0,500.0,0.0,0.1939481645822525,-20.495509963989257,0.0,3.7212830648059025e-05,0.09528139978647232,-0.008740398476831616,0.04019294350212224,4.458338737487793,0.03581118583679199,24.13003945350647,1397.3009147644043
25,25.0,0.0,500.0,0.0,0.21446168422698975,-22.294450050354005,0.0,1.88123740372248e-05,0.0923275277018547,-0.005818346970714629,0.04329914049623979,4.2790751457214355,0.035230398178100586,24.491573810577393,1447.1532189846039
