,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,500.0,5000.0,0.0,0.0,0.0,0.0,8.461135149002075,412.8944709300995
1,1.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1000.0,5000.0,0.0,0.0,0.0,0.0,8.586299896240234,431.8659348487854
2,2.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1500.0,5000.0,0.0,0.0,0.0,0.0,8.372166633605957,450.8055546283722
3,3.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2000.0,5000.0,0.0,0.0,0.0,0.0,8.609506368637085,469.7735376358032
4,4.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2500.0,5000.0,0.0,0.0,0.0,0.0,8.185261011123657,488.50056076049805
5,5.0,500.0,0.0,0.0,0.0,0.029266517609357834,-0.5342445361614228,0.0,0.0,0.0,0.00019118539057672024,0.18066978454589844,0.27593532905448226,0.0792447244526614,-2.1881906986236572,3000.0,5000.0,0.0,0.0,0.0,11.909546136856079,21.396987199783325,520.192328453064
6,6.0,500.0,0.0,0.0,0.0,0.010326731018722057,-0.9607266416549682,0.0,0.0,0.0,0.00010051016579382122,0.14655785262584686,0.2131547490954399,0.06451809290990575,-1.9563713073730469,3500.0,5000.0,0.0,0.0,0.0,11.888538599014282,21.863327503204346,561.0068461894989
7,7.0,500.0,0.0,0.0,0.0,0.018099406734108925,-1.3389290375709533,0.0,0.0,0.0,0.00016207162116188556,0.14519473910331726,0.16070168274641036,0.05402287344948011,-1.4384900331497192,4000.0,5000.0,0.0,0.0,0.0,11.941920518875122,22.334453582763672,601.9884481430054
8,8.0,500.0,0.0,0.0,0.0,0.018447071313858032,-1.7294533085823058,0.0,0.0,0.0,0.00011130755592603236,0.14084866642951965,0.12727395683526993,0.04602240083544993,-1.1001514196395874,4500.0,5000.0,0.0,0.0,0.0,12.394489049911499,21.857654094696045,642.8636176586151
9,9.0,500.0,0.0,0.0,0.0,0.022997921332716942,-2.061935604095459,0.0,0.0,0.0,8.681025792611763e-05,0.14021694660186768,0.10280327197909356,0.03974017037833114,-0.803339958190918,5000.0,5000.0,0.0,0.0,0.0,13.717017650604248,23.168976068496704,685.5080125331879
