,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,0.0,,500.0,5000.0,0.0,0.0,7.697298049926758,431.26406717300415
1,1.0,500.0,0.0,0.0,0.0,,,,0.0,,1000.0,5000.0,0.0,0.0,7.313324213027954,446.68748235702515
2,2.0,500.0,0.0,0.0,0.0,,,,0.0,,1500.0,5000.0,0.0,0.0,7.483271360397339,462.58279156684875
3,3.0,500.0,0.0,0.0,0.0,,,,0.0,,2000.0,5000.0,0.0,0.0,7.426422357559204,478.1887686252594
4,4.0,500.0,0.0,0.0,0.0,,,,0.0,,2500.0,5000.0,0.0,0.0,7.549640655517578,493.9411735534668
5,5.0,500.0,0.0,0.0,0.0,0.03907189145684242,-0.3525514493063092,0.2889709794819355,0.07926919103614763,-2.4773595333099365,3000.0,5000.0,0.0,8.426786661148071,17.193517446517944,519.2167778015137
6,6.0,500.0,0.0,0.0,0.0,0.0015903516905382276,-0.6028283230066299,0.2365551216006279,0.06398749874868997,-2.6397011280059814,3500.0,5000.0,0.0,8.646855115890503,17.61235284805298,554.5879030227661
7,7.0,500.0,0.0,0.0,0.0,0.0013313816161826253,-0.8100485174655915,0.19130484294891356,0.052730800432538215,-2.582855701446533,4000.0,5000.0,0.0,8.512157201766968,18.00227403640747,589.2802760601044
8,8.0,500.0,0.0,0.0,0.0,0.0011804475216194987,-0.9970233705043793,0.15694356805086135,0.0441737728575721,-2.499474048614502,4500.0,5000.0,0.0,8.465941905975342,18.081964254379272,624.5167033672333
9,9.0,500.0,0.0,0.0,0.0,0.001280196476727724,-1.1676748867034912,0.13011864072084428,0.03751211324631612,-2.388658285140991,5000.0,5000.0,0.0,8.514440298080444,17.276003122329712,660.0036103725433
10,10.0,500.0,0.0,0.0,0.0,0.0012623900547623634,-1.333906804561615,0.10691979405283927,0.03229912331083948,-2.139085054397583,5500.0,5000.0,0.0,8.183167934417725,17.07801580429077,695.4788150787354
11,11.0,500.0,0.0,0.0,0.0,0.001357192057184875,-1.4951180748939514,0.08856103467941284,0.028131916223944158,-1.8715217113494873,6000.0,5000.0,0.0,7.555943489074707,16.37506365776062,728.1338512897491
12,12.0,500.0,0.0,0.0,0.0,0.001219053752720356,-1.6557077889442444,0.07374116453528404,0.024748036449573168,-1.585433006286621,6500.0,5000.0,0.0,7.472710609436035,15.753556728363037,760.410463809967
13,13.0,500.0,0.0,0.0,0.0,0.0014403787208721042,-1.830398187160492,0.06058008259534836,0.021999006030718592,-1.1890255212783813,7000.0,5000.0,0.0,7.486069917678833,15.537151098251343,792.2030923366547
14,14.0,500.0,0.0,0.0,0.0,0.011531039141118526,-2.34658522605896,0.052027279704809186,0.019653663082059163,-1.0005956888198853,7500.0,5000.0,0.0,7.478276491165161,16.26084017753601,824.4884991645813
15,15.0,500.0,0.0,0.0,0.0,0.0020191764924675226,-2.4981180467605593,0.04478133963048458,0.01763475324857569,-0.8073044419288635,8000.0,5000.0,0.0,7.483081817626953,15.649406671524048,856.3567638397217
16,16.0,500.0,0.0,0.0,0.0,0.004241505637764931,-2.8282001991271972,0.03751929844915867,0.015933605061869797,-0.47313979268074036,8500.0,5000.0,0.0,7.4901862144470215,15.703251361846924,888.573575258255
17,17.0,500.0,0.0,0.0,0.0,0.005824257619678974,-3.230591537475586,0.029622161746025086,0.014565647170193253,0.11374690383672714,9000.0,5000.0,0.0,7.485000848770142,15.66782283782959,922.1497263908386
18,18.0,500.0,0.0,0.0,0.0,0.006120814010500908,-3.6118490381240846,0.022152808353304864,0.013503929123848301,0.8431976437568665,9500.0,5000.0,0.0,7.498981714248657,15.639598846435547,955.7866797447205
19,19.0,500.0,0.0,0.0,0.0,0.0070478059351444244,-3.957799159049988,0.017518484361469747,0.012630602680255149,1.3190573453903198,10000.0,5000.0,0.0,7.471292495727539,15.62306523323059,989.2715017795563
20,20.0,500.0,0.0,0.0,0.0,0.007817277684807777,-4.311734276771546,0.015188599541783332,0.011828065661851258,1.516616940498352,10500.0,5000.0,0.0,7.4791481494903564,16.155176162719727,1455.0176990032196
21,21.0,500.0,0.0,0.0,0.0,0.008908217772841454,-4.658801774978638,0.013243377804756165,0.011096259100315949,1.6895967721939087,11000.0,5000.0,0.0,7.568681955337524,16.105796813964844,1488.1570336818695
22,22.0,500.0,0.0,0.0,0.0,0.009882830083370209,-4.991699300765991,0.009958946883678436,0.01050390673071157,2.155841827392578,11500.0,5000.0,0.0,7.5342018604278564,15.935400009155273,1520.1819412708282
23,23.0,500.0,0.0,0.0,0.0,0.011227334849536419,-5.264082839965821,0.00653492780867964,0.010079103316232232,2.7307140827178955,12000.0,5000.0,0.0,7.573258876800537,16.033366918563843,1552.2246816158295
24,24.0,500.0,0.0,0.0,0.0,0.011618837714195251,-5.603818817138672,0.001675870861436124,0.00995815389551086,3.6655263900756836,12500.0,5000.0,0.0,7.592436075210571,15.646097898483276,1583.9746255874634
25,25.0,500.0,0.0,0.0,0.0,0.011708051897585392,-5.868772855758667,0.005355783632316161,0.00955792666272114,2.9032533168792725,13000.0,5000.0,0.0,7.5429747104644775,15.765440225601196,1616.2675728797913
26,26.0,500.0,0.0,0.0,0.0,0.013116398826241493,-6.169991104125977,0.004610891968943179,0.009170852631541672,3.015491485595703,13500.0,5000.0,0.0,7.579444646835327,15.80318307876587,1648.356309890747
27,27.0,500.0,0.0,0.0,0.0,0.012648516334593296,-6.442187265396118,0.0034170972919091583,0.00885781353948074,3.2420687675476074,14000.0,5000.0,0.0,7.7259790897369385,16.142111778259277,1680.6689488887787
28,28.0,500.0,0.0,0.0,0.0,0.013591566123068333,-6.712270332336426,0.0026114333313307725,0.008595285233844074,3.4017815589904785,14500.0,5000.0,0.0,7.669168949127197,15.962509155273438,1712.560802936554
29,29.0,500.0,0.0,0.0,0.0,0.01438718568533659,-6.947499431610107,0.0006680861765198643,0.00851861381450747,3.843885660171509,15000.0,5000.0,0.0,7.712111711502075,16.041266679763794,1744.5005612373352
30,30.0,500.0,0.0,0.0,0.0,0.015017746016383171,-7.225396848678589,0.0006147262530284933,0.008444257231993076,3.8550782203674316,15500.0,5000.0,0.0,7.627179384231567,15.872187376022339,1776.5916104316711
31,31.0,500.0,0.0,0.0,0.0,0.017408443614840508,-7.484684465408325,0.0006496114363471861,0.008348832040391668,3.845400810241699,16000.0,5000.0,0.0,7.782492160797119,16.07464861869812,1808.6229891777039
32,32.0,500.0,0.0,0.0,0.0,0.020664924755692482,-7.743264242172241,2.0851882069109706e-05,0.008346514687582253,3.9950268268585205,16500.0,5000.0,0.0,7.694787979125977,15.885682582855225,1840.4211955070496
33,33.0,500.0,0.0,0.0,0.0,0.019725380465388298,-8.058694042205811,-0.00026030459454523227,0.008392057235649574,4.062289237976074,17000.0,5000.0,0.0,7.632098197937012,15.771442651748657,1872.3237779140472
34,34.0,500.0,0.0,0.0,0.0,0.02438287064433098,-8.319821157455443,-0.002326037528090637,0.008867319147780502,4.540173053741455,17500.0,5000.0,0.0,7.573273420333862,15.680114984512329,1904.0630791187286
35,35.0,500.0,0.0,0.0,0.0,0.025928687304258347,-8.64275842666626,-0.003210627850872697,0.009659235482042746,4.695251941680908,18000.0,5000.0,0.0,7.597614049911499,15.713537216186523,1935.9467754364014
36,36.0,500.0,0.0,0.0,0.0,0.031006943434476852,-9.023675998687745,-0.003918471423297888,0.01083691511904405,4.767693996429443,18500.0,5000.0,0.0,7.625481367111206,16.188383102416992,1968.3191547393799
37,37.0,500.0,0.0,0.0,0.0,0.034806493669748306,-9.392907329559327,-0.004155842865351587,0.012384587643153712,4.718244552612305,19000.0,5000.0,0.0,7.612456798553467,15.984092473983765,2000.1166353225708
38,38.0,500.0,0.0,0.0,0.0,0.036239143460989,-9.77711777496338,-0.006816687926184386,0.015588881928772468,4.986145496368408,19500.0,5000.0,0.0,7.623014450073242,18.98096489906311,2037.046903371811
39,39.0,500.0,0.0,0.0,0.0,0.03928696736693382,-10.331709114074707,-0.0023152391749499657,0.017005077194023808,4.2847089767456055,20000.0,5000.0,0.0,7.667312860488892,19.00875234603882,2073.2926337718964
40,40.0,500.0,0.0,0.0,0.0,0.0382593497633934,-10.81837594985962,0.00204738466150593,0.015702339807570236,3.7506041526794434,20500.0,5000.0,0.0,8.417216300964355,19.01677393913269,2595.5448541641235
41,41.0,500.0,0.0,0.0,0.0,0.03567587211728096,-11.241274471282958,0.00023210704363646074,0.015522944292119414,3.970418930053711,21000.0,5000.0,0.0,8.412410736083984,18.723050355911255,2632.107139825821
42,42.0,500.0,0.0,0.0,0.0,0.03731530159711838,-11.644554294586182,-0.0023495469848494395,0.017376264968602072,4.287129878997803,21500.0,5000.0,0.0,8.398025751113892,18.12497115135193,2668.0623757839203
43,43.0,500.0,0.0,0.0,0.0,0.037635643035173416,-12.065535915374756,4.922899854136631e-06,0.017456766261228756,4.0004072189331055,22000.0,5000.0,0.0,8.421844720840454,17.589213609695435,2704.802069425583
44,44.0,500.0,0.0,0.0,0.0,0.04040150344371796,-12.575313251495361,0.0006533572159532923,0.01679200649371826,3.9238908290863037,22500.0,5000.0,0.0,8.376863956451416,16.370671272277832,2739.5974571704865
45,45.0,500.0,0.0,0.0,0.0,0.04593202471733093,-13.1711008644104,-0.0006781568120395604,0.01753001940230267,4.079468727111816,23000.0,5000.0,0.0,8.375992059707642,17.036818981170654,2774.10364985466
46,46.0,500.0,0.0,0.0,0.0,0.043629035353660583,-13.664219856262207,-0.0004178436056317878,0.0179839172503443,4.047201633453369,23500.0,5000.0,0.0,7.413270950317383,15.843183040618896,2807.5673055648804
47,47.0,500.0,0.0,0.0,0.0,0.04271882027387619,-14.148635108947754,0.00042030679080198754,0.017534086981570333,3.9530651569366455,24000.0,5000.0,0.0,7.483423471450806,15.875143051147461,2841.4036688804626
48,48.0,500.0,0.0,0.0,0.0,0.0442468486726284,-14.620159088134766,-7.151893583068159e-05,0.017539421373456633,4.008580207824707,24500.0,5000.0,0.0,7.488962173461914,16.346011638641357,2876.993433237076
49,49.0,500.0,0.0,0.0,0.0,0.05827898532152176,-15.067576805114745,0.00010167152860412898,0.01744248936193114,3.988659143447876,25000.0,5000.0,0.0,7.494679927825928,16.47182607650757,2912.1052618026733
