,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,-0.42552220821380615,,,,,,,,,0.0,,500.0,5000.0,1731.0,781.0,0.0,0.0,8.367498874664307,440.52204942703247
1,1.0,500.0,0.0,0.0,3.188381314277649,,,,,,,,,0.0,,1000.0,5000.0,1731.0,781.0,0.0,0.0,8.851636171340942,459.90141439437866
2,2.0,500.0,0.0,0.0,2.1266706585884094,,,,,,,,,0.0,,1500.0,5000.0,1731.0,781.0,0.0,0.0,8.868067502975464,478.97568225860596
3,3.0,500.0,0.0,0.0,2.283810615539551,,,,,,,,,0.0,,2000.0,5000.0,1731.0,781.0,0.0,0.0,9.115965604782104,498.04509139060974
4,4.0,500.0,0.0,0.0,-1.3949939012527466,,,,,,,,,0.0,,2500.0,5000.0,1731.0,781.0,0.0,0.0,8.641318798065186,516.1586890220642
5,5.0,500.0,0.0,0.0,1.5910942554473877,0.059237103909254074,-0.5473135561645031,0.006467038299888372,0.0023681619204580784,0.0,0.0,0.0,0.2839167691618204,0.07916992812420882,-2.3702805042266846,3000.0,5000.0,1731.0,781.0,0.0,10.671972513198853,19.944036960601807,562.544150352478
6,6.0,500.0,0.0,0.0,-4.423704028129578,0.011815608479082584,-1.0102456963062287,0.006503263488411903,0.0023726143408566713,0.0,0.0,0.0,0.2281337040066719,0.06409816109132828,-2.4007275104522705,3500.0,5000.0,1731.0,781.0,0.0,11.631985425949097,21.240642070770264,611.4614288806915
7,7.0,500.0,0.0,0.0,3.3122458457946777,0.013997037895023823,-1.4517352957725524,0.006531959865242243,0.002359724370762706,0.0,0.0,0.0,0.18065186685323714,0.05309103177835403,-2.1886634826660156,4000.0,5000.0,1731.0,781.0,0.0,10.806434154510498,21.923940420150757,661.354532957077
8,8.0,500.0,0.0,0.0,-2.888319492340088,0.021769072860479355,-1.9148076252937316,0.006526280660182238,0.0023867476265877485,0.0,0.0,0.0,0.1413039211332798,0.044958775153296694,-1.7795252799987793,4500.0,5000.0,1731.0,781.0,0.0,10.577829122543335,21.74556016921997,710.380735874176
9,9.0,500.0,0.0,0.0,5.595922946929932,0.026370910927653313,-2.378625499725342,0.0064919861033558846,0.002400011057034135,0.0,0.0,0.0,0.10509565660357476,0.03907674501455075,-1.0104036331176758,5000.0,5000.0,1731.0,781.0,0.0,10.531736135482788,19.702595233917236,758.7959463596344
10,10.0,500.0,0.0,0.0,-3.697463274002075,0.03272558003664017,-2.96192755317688,0.00649210624396801,0.0024004073347896338,0.0,0.0,0.0,0.08477932745218277,0.034378791602440756,-0.6212215423583984,5500.0,5000.0,1731.0,781.0,0.0,10.817170858383179,21.403510570526123,809.2817721366882
11,11.0,500.0,0.0,0.0,1.6802986860275269,0.03545241057872772,-3.4584399404525756,0.006475378759205341,0.002377985045313835,0.0,0.0,0.0,0.06014054819941521,0.03099927744633658,0.3187178373336792,6000.0,5000.0,1731.0,781.0,0.0,10.837891101837158,20.671785354614258,859.1282484531403
12,12.0,500.0,0.0,0.0,4.230796575546265,0.0397680327296257,-4.251397537231445,0.006480330601334572,0.00237193307839334,0.0,0.0,0.0,0.0390329924672842,0.02870233812419987,1.3847804069519043,6500.0,5000.0,1731.0,781.0,0.0,10.765674591064453,21.341613292694092,909.8307752609253
13,13.0,500.0,0.0,0.0,0.0709075927734375,0.03605840727686882,-4.909340585708618,0.006504615303128958,0.002388338092714548,0.0,0.0,0.0,0.02467853119969368,0.027152976672745157,2.2328379154205322,7000.0,5000.0,1731.0,781.0,0.0,11.153127908706665,21.669609308242798,959.8657310009003
